ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Location_Center_X,Location_Center_Y,Number_Object_Number
5,1,753,277.0,373.0,1.711240196824263,0.94409704968419961,1.0,0.61469387755102045,0.59302685207528072,54.380513936719005,50.596442562694072,8.6023252670426267,3.9757007211444497,4.0,17.032709929637438,17.927496344269112,-73.6264367433225,126.31800000000004,0.93831775700934583,0.37451147546311614,0.0063780984502068106,0.13427765774883979,0.096560381737910275,0.0053942064144006652,0.0040196372919347519,0.041317406178829688,0.059659746006816748,0.041937579147576703,0.002630717274622385,0.0048486649309830423,0.0021601686089523439,0.020468768278283259,0.017779360638509482,0.023378674824891341,0.021217088219217708,0.0010978083913310108,0.0027436745591976654,0.001810695042625844,0.0012796612162466433,0.0038434966606978793,0.0041274605438035589,0.0015826865307299197,0.0067418835888005645,0.011481927548179718,0.00085526763459934426,0.00079583510332071326,0.00078245877775879225,0.00043020812266051311,0.00080273070024936726,273.42629482071715,383.93758300132799,1
5,2,499,291.0,383.0,1.2639753389055008,0.86034102564113801,1.0,0.65744400527009228,0.67547140978515208,35.730177846401261,33.61547262794322,8.5440037453175304,3.7647116816928428,3.6055512754639891,16.954277476568421,18.212345637196112,-66.644170075608088,96.350000000000037,0.92407407407407405,0.55849161750275456,0.0073050291138019065,0.16405032219168339,0.11613776272497479,0.0031271600076468536,0.0087688841529746323,0.020311232042512204,0.03998107226027614,0.031678256040540649,0.0037749001601100783,0.005565182993929654,0.0095222328102500392,0.0081412521523507898,0.011700230446704851,0.0038041893255951822,0.011949650876358608,0.0037378453139758757,0.0014639655525047663,0.0014725606107087394,0.0096167901324647493,0.013195752587694426,0.013685352398626352,0.017120312125170147,0.010338149006999479,0.011117763440067482,0.0021727588824608951,0.0011127063151171526,0.0012528116801948344,0.0026783546666179618,0.0057843926710247255,290.27254509018036,385.57314629258519,2
5,3,481,284.0,414.0,1.246292359253532,0.84367680507695353,1.0,0.8097643097643098,0.72818531113122742,34.451100256689607,32.756678708318397,8.5440037453175304,3.7502947177749935,3.1622776601683795,17.0,18.495122138900673,-86.119100287132923,91.108000000000018,0.94129158512720157,0.57038402743807404,0.06285549843933895,0.1510646693652935,0.10613540563696383,0.033049381206402606,0.029358187556202217,0.011588579028403682,0.034232845280360837,0.019192343894688216,0.0065200796961692878,0.0028383272726332479,0.019192158445026419,0.0035020769945386904,0.0083380997709664971,0.00092825999617505333,0.018822744339095358,0.01414344672128672,0.013901141596714808,0.0094809079451984753,0.013423263034248302,0.00013377470615009277,0.0082622107042452982,0.0052751801392002737,0.0064090448740068851,0.013944475313974053,0.010396527197577101,0.0080700959072408096,0.011067411051715943,0.006718323646887946,0.0048507949784998301,283.69646569646568,414.63409563409562,3
6,1,805,274.0,368.0,1.8129408640288998,0.95154860222981963,1.0,0.5841799709724238,0.5601247498967209,58.237234264637252,54.083269131959838,8.9442719099991592,3.9947993951834402,4.0,17.032709929637438,17.907855560596111,-73.26096480791017,134.38800000000003,0.94650205761316875,0.35041293453395073,0.010799148969229436,0.12713770749679196,0.092033568511191877,0.0091624911902031952,0.0067809207481535306,0.041767910586593224,0.058638678587916646,0.041153992833224198,0.0055693497638317022,0.0065695410588397264,0.0044798756983866544,0.022225722821281206,0.020052150710758988,0.025151017757279855,0.021513451100201298,0.0024718019697832798,0.0038627715830654909,0.0031697188693307586,0.0031861288888076064,0.0069101509897787428,0.0063023025214626526,0.0048505330536985219,0.0089640821028173501,0.012074190701738085,0.00084010641622235462,0.00047205837661323092,0.0019852099275819084,0.0010921096208385357,0.002402427326983965,269.81242236024843,381.31428571428569,1
6,2,547,289.0,377.0,1.3106124293567085,0.87800124607061236,1.0,0.61877828054298645,0.68302949793110945,38.557305908485503,37.013511046643494,8.9442719099991592,3.8628101851107153,3.6055512754639891,17.296963071789488,18.455776260409444,-63.045048532236891,100.31800000000004,0.94636678200692037,0.50836644596360148,0.046911834934920446,0.16099842354520527,0.1022503154088239,0.025226545337116185,0.031977234764621471,0.024912010433148328,0.044009050671447732,0.027687807316065002,0.0029836266243595138,0.015755215447149182,0.011028932606287267,0.002383726608614023,0.0054281365347460531,0.0054897407254211276,0.013522402835377895,0.0071702276970769833,0.010765232855405442,0.00089775428351510664,0.0021039450533543681,0.012235185174225918,0.0074382478689683671,0.0087387739714521809,0.0030352934885841953,0.010725196644606808,0.0077761177511548535,0.0098490847435072689,0.011465418420704629,0.0082618086966720836,0.0048069005938294936,287.9396709323583,380.41864716636195,2
6,3,507,281.0,405.0,1.3014839219050873,0.86840981348439672,1.0,0.80476190476190479,0.69825010461198622,36.746912653271714,34.481879299133332,9.0,3.7952109230739435,3.6055512754639891,16.655002403433205,18.220851898598561,-83.503665803034494,95.52200000000002,0.93628808864265933,0.53513172337875137,0.034027908099085243,0.15810350173436385,0.11204769218239155,0.021737722399649079,0.014222310409668747,0.019606119093596136,0.045306673911365974,0.026598359034800758,0.0075937023841121179,0.0032263050890239467,0.017788520136405455,0.0011027451178392781,0.0065523757349293188,0.0034907818147869342,0.0052441418461880362,0.0069882970927195977,0.0077342657037876182,0.0051908382270608854,0.017413578223003812,0.0070146828281829974,0.010431626000270989,0.012709892831663528,0.0075783848592592459,0.0081258246860726521,0.0079637724498410074,0.0077932338140524002,0.0080342404845938284,0.0046384580885753483,0.012026561911485094,280.02169625246546,411.45562130177512,3
7,1,835,273.0,374.0,1.8642657936664562,0.95503259142049723,1.0,0.58391608391608396,0.55590264018856184,60.325187209222783,56.044625076808217,8.5440037453175304,4.0089359106621316,4.0,16.524462578295356,17.886468803167254,-73.481232547405284,137.38800000000001,0.94724900737379469,0.33846580253565484,0.0028372762071685632,0.1248496236226781,0.089665393504680807,0.0028594069212362892,0.0014570504620934331,0.044087517138240877,0.05764611995506444,0.041402620634657779,0.0025404754874440816,0.0010718831854335462,0.0018806246261939641,0.023081208667726522,0.021833371914601555,0.02621126629447636,0.022466089962876669,0.0013063728877880636,0.00081070746347541563,0.00034750669396533477,0.0019291011488077919,0.0080101796958577977,0.0071718397123327155,0.0072959293804941098,0.010318623277584751,0.013156554520732918,0.00052082145253684836,0.00059244023154014997,0.0012862262292235775,0.00070484109810079604,0.0017535581285300695,269.4694610778443,385.7568862275449,1
7,2,549,288.0,382.0,1.3664774490572191,0.89331892663036483,1.0,0.56481481481481477,0.64757214478300751,39.881412575377894,38.013155617496423,8.5440037453175304,3.7903176301705219,3.6055512754639891,17.29480616499351,17.923635726212993,-60.978740031356082,103.21600000000005,0.95811518324607325,0.48374291353605847,0.036901145217800822,0.15834751582825016,0.10372664592276115,0.017345541442938522,0.031230028249121994,0.032411803786354866,0.047772266621336407,0.031128870221757022,0.0027500872768448548,0.016763162921201152,0.014510069212602261,0.0057884309201798722,0.002391416269704693,0.0075902613315026804,0.011672584831410137,0.0046214459332987786,0.0058186072577226635,0.002999063770522236,0.0027070209648215231,0.011156298489688531,0.0082955098703957359,0.0080004990244833783,0.0034437332477468613,0.0090640513477594983,0.00554926600527339,0.0047473642309239263,0.011881179950983329,0.0051449779593694903,0.0028792803479555026,289.14754098360658,381.38615664845173,2
7,3,542,281.0,407.0,1.3421505032374144,0.8842684235951902,1.0,0.75069252077562332,0.65678548233137113,39.014176220409482,37.054014627297811,8.9442719099991592,3.8209416617425718,3.6055512754639891,17.322996475683752,18.218799685204058,-82.167411435110509,101.83400000000003,0.92333901192504264,0.49954907847020835,0.054365116991218439,0.15371754457705394,0.10257050193934741,0.034598221343737454,0.0290586287765956,0.017560980369471388,0.047553407799908166,0.025539306575108174,0.010223698184925807,0.0091112000082852664,0.014485452509508371,0.0049890804701189402,0.0044873541519533005,0.0089323569168169841,0.007856670603838066,0.0060733937160486681,0.010561005755921355,0.0041597685622461909,0.0072558734745861025,0.0046024963082599906,0.0028963900034693693,0.0090004743323149634,0.0035289285792469063,0.0093065313729483092,0.010742459004443615,0.010691903519175941,0.012291204659165269,0.0077204257612797861,0.0047600312233330774,279.7527675276753,414.04243542435427,3
8,1,886,276.0,364.0,1.940208626701251,0.95909268944639225,1.0,0.57569850552306689,0.53660317756521869,63.614287168172503,59.135437767890075,8.5440037453175304,4.0381915584590811,4.0,16.857742619892264,18.008710679920927,-72.684950023651552,144.04399999999995,0.94810058855002677,0.32258800018168549,0.0088014366244373622,0.12020376138004103,0.085927408290570217,0.0091434725600931157,0.0046255391237864261,0.043189727131181417,0.056552669073836097,0.04019119595243998,0.0067437419837113391,0.0056519911449822522,0.0027745841628329707,0.024199076760652066,0.021813897596597361,0.027212087347506304,0.022103892157308107,0.0039778740524070814,0.0040193313694919398,0.0030133845399043535,0.0018353517926205788,0.0084464660889491949,0.009232445300106449,0.0080053192232044587,0.01227404951822648,0.013055568959805202,0.0011553323885782076,0.0015121700217377821,0.0015021840255338306,0.0015101857242120458,0.0012622304596799881,271.29796839729119,377.88148984198648,1
